#{"t_start": 1764490025.1546538, "env_id": "None"}
r,l,t
221.13371,500,8333.672789
233.993151,500,8341.534927
232.773351,500,8349.471411
223.103098,500,8357.29652
219.841678,500,8365.008071
234.923033,500,8373.255079
221.386419,500,8381.41561
225.445987,500,8390.123974
227.421661,500,8398.552113
227.236949,500,8407.50464
232.314176,500,8416.248152
219.313656,500,8424.602736
221.948759,500,8432.877358
227.093519,500,8441.964027
229.693132,500,8450.538275
225.192125,500,8459.330596
227.942487,500,8467.998962
216.734865,500,8476.273766
226.521209,500,8484.558704
227.721509,500,8492.600847
225.305685,500,8500.613859
228.350078,500,8508.487114
231.350501,500,8516.262126
170.201738,344,8521.66357
229.918733,500,8529.756768
229.547602,500,8537.919229
223.430919,500,8545.835911
228.864624,500,8553.730728
228.646785,500,8561.566229
230.970169,500,8569.370203
226.257902,500,8577.277477
226.112456,500,8585.648404
224.575674,500,8593.723508
230.576697,500,8601.817744
231.021816,500,8611.529936
235.199676,500,8619.942973
233.66905,500,8628.244201
227.194507,500,8636.772535
220.245055,500,8645.106357
230.091727,500,8652.962156
223.422314,500,8660.965098
194.966737,402,8667.916231
227.590032,500,8676.2947
230.74423,500,8684.590963
